Review_ID,Cus_ID,Pro_ID,Rating,Comment,Review_Date
REV0001,C0650,P0115,,El 7agat etewsla 3ala 7alaha,2023-05-23
REV0002,C0089,P0600,1.0,El 7agat etewsla 3ala 7alaha,2024-06-01
REV0003,C0713,P0555,4.0,Montag momtaz w sa3ro monaseb,2023-06-13
REV0004,C0776,P0344,4.0,El 7aga etewslat wa2taha,2024-09-10
REV0005,C0126,P0386,3.0,El sa3r mo3taghal,2024-08-14
REV0006,C0785,P0296,2.0,El montag 3amali,2023-10-12
REV0007,C0365,P0214,1.0,Mumtaz 3ala kol 7aja,2024-06-30
REV0008,C0651,P0566,3.0,Jo3a al3ab 3andhom,2023-08-23
REV0009,C0067,P0216,5.0,3ajaba el khedma gedan,2023-08-06
REV0010,C0466,P0146,2.0,El montag 3amali gedan,2023-09-27
REV0011,C0372,P0224,2.0,El soora ghayr mowafqa lil montag,2023-02-18
REV0012,C0691,P0430,4.0,El montag mesh sha8al,2024-06-25
REV0013,C0691,P0118,5.0,El soora mesh zay eny shofta,2023-04-25
REV0013,C0691,P0118,5.0,El soora mesh zay eny shofta,2023-04-25
REV0014,C0734,P0269,2.0,Sa3r tamam,2024-10-02
REV0015,C0155,P0381,5.0,El sa3r mesh monaseb,2023-01-01
REV0016,C0373,P0314,2.0,El soora ghayr mowafqa lil montag,2023-03-29
REV0017,C0543,P0129,4.0,Mumtaz 3ala kol 7aja,2023-09-29
REV0018,C0550,P0205,4.0,El sa3r mo3taghal,2024-03-24
REV0019,C0065,P0346,,El 7agat etewsla 3ala 7alaha,2023-01-08
REV0020,C0033,P0338,2.0,El tawseel momtaz,2023-08-08
REV0021,C0587,P0482,4.0,3ajaba el khedma,2023-04-07
REV0022,C0475,P0055,1.0,El soora mesh zay eny shofta,2023-04-22
REV0023,C0431,P0187,2.0,Khedma tawil ya jama3a,2024-03-29
REV0024,C0662,P0550,1.0,Sa3r akw men el market,2023-06-20
REV0025,C0060,P0167,4.0,El montag mesh sha8al,2023-10-20
REV0026,C0567,P0496,3.0,Jo3a al3ab 3andhom,2024-08-16
REV0027,C0051,P0594,5.0,El 7aga etewslat bel seh,2023-03-24
REV0028,C0240,P0412,5.0,Mesh zay el wasf,2024-09-26
REV0029,C0325,P0267,3.0,El khedma momtaza,2023-05-15
REV0030,C0764,P0074,,Sa3r tamam,2023-03-17
REV0031,C0359,P0070,3.0,3ajaba el 3ala,2024-07-10
REV0032,C0664,P0539,,El 7aga zabarta 3amali,2024-11-10
REV0033,C0108,P0562,3.0,El soora mesh zay eny shofta,2023-07-28
REV0034,C0258,P0052,4.0,Mesh zay el wasf,2023-01-04
REV0035,C0164,P0450,4.0,Tawseel sarie3 gedan,2023-03-19
REV0036,C0037,P0377,2.0,Mesh zay el wasf,2023-11-12
REV0037,C0041,P0365,2.0,El 7aga etewslat wa2taha,2024-07-27
REV0038,C0157,P0242,2.0,El tawseel kan bta2,2023-07-03
REV0039,C0680,P0254,1.0,Mesh zay el wasf,2024-04-26
REV0040,C0314,P0233,2.0,El khedma ra2e3a awy,2023-03-13
REV0041,C0408,P0546,1.0,El montag mesh kwayes,2023-07-02
REV0042,C0607,P0442,3.0,El 7aga etewslat bel seh,2023-04-29
REV0043,C0720,P0444,,El montag 3amali gedan,2024-12-04
REV0044,C0373,P0439,3.0,Tawseel sarie3 gedan,2023-11-04
REV0045,C0708,P0302,2.0,El montag 3amali,2024-11-24
REV0046,C0414,P0558,3.0,El 7aga zabarta gedan,2024-08-16
REV0047,C0686,P0218,2.0,El tawseel 3alat basha,2024-06-11
REV0048,C0764,P0240,2.0,La2 ma3qool,2023-01-26
REV0049,C0780,P0074,5.0,El montag 3amali,2024-05-21
REV0050,C0763,P0110,2.0,El sa3r mesh monaseb,2024-04-20
REV0051,C0464,P0136,5.0,3ajaba el khedma gedan,2024-03-29
REV0052,C0559,P0454,4.0,Sa3r akw men el market,2024-10-14
REV0053,C0244,P0281,3.0,El soora mesh zay eny shofta,2023-11-24
REV0054,C0392,P0155,1.0,El soora mesh zay eny shofta,2024-07-09
REV0055,C0398,P0594,1.0,EL MONTAG 3AMALI,2024-05-03
REV0056,C0766,P0398,4.0,El montag 3amali gedan,2024-09-09
REV0057,C0494,P0029,4.0,El montag mesh sha8al,2023-05-11
REV0058,C0603,P0573,1.0,El 3ala 7abeby,2024-04-17
REV0059,C0462,P0334,4.0,El tawseel kan fe wa2t,2023-09-16
REV0060,C0053,P0357,1.0,Mesh zay el wasf,2023-02-01
REV0061,C0155,P0244,1.0,Mesh ha2khudha tany,2024-04-21
REV0062,C0618,P0118,2.0,SA3R TAMAM,2024-08-15
REV0063,C0688,P0383,2.0,Sa3r akw men el market,2023-04-15
REV0064,C0122,P0575,3.0,El sa3r mo3taghal,2023-03-12
REV0065,C0498,P0109,3.0,El montag mesh sha8al,2024-12-25
REV0066,C0662,P0276,5.0,El montag mesh sha8al,2024-03-22
REV0067,C0252,P0088,4.0,El montag mesh sha8al,2024-08-06
REV0068,C0334,P0186,3.0,El soora mesh zay eny shofta,2023-10-14
REV0069,C0011,P0527,1.0,El tawseel kan fe wa2t,2024-05-15
REV0070,C0723,P0500,1.0,El 7agat etewsla 3ala 7alaha,2024-02-19
REV0071,C0481,P0562,4.0,El khedma momtaza gedan,2023-12-05
REV0072,C0236,P0124,3.0,El montag 3amali gedan,2024-12-07
REV0073,C0736,P0599,5.0,Sa3r tamam,2023-07-18
REV0074,C0720,P0543,1.0,El khedma momtaza gedan,2023-10-27
REV0075,C0499,P0105,5.0,El khedma 3amali awy,2024-03-27
REV0076,C0486,P0117,4.0,Jo3a al3ab 3andhom,2023-06-05
REV0077,C0255,P0122,4.0,El 7agat etewsla 3ala 7alaha,2024-06-19
REV0078,C0599,P0437,5.0,Sa3r tamam,2023-08-01
REV0079,C0245,P0176,2.0,,2024-04-06
REV0080,C0478,P0298,,El tawseel 3alat basha,2024-12-20
REV0081,C0271,P0599,2.0,El montag 3amali gedan,2023-08-19
REV0082,C0073,P0061,3.0,El tawseel 3alat basha,2024-03-25
REV0083,C0279,P0510,4.0,Mesh zay el wasf,2024-03-18
REV0084,C0234,P0585,1.0,El khedma ra2e3a awy,2024-08-13
REV0085,C0662,P0450,2.0,El 7aga zabarta gedan,2024-10-12
REV0086,C0417,P0341,1.0,El soora mesh zay eny shofta,2024-02-26
REV0087,C0773,P0560,,El montag mesh kwayes,2023-11-28
REV0088,C0002,P0552,1.0,El sa3r mo3taghal,2024-09-29
REV0089,C0207,P0273,3.0,EL TAWSEEL MOMTAZ,2023-05-05
REV0090,C0245,P0161,1.0,El soora ghayr mowafqa lil montag,2023-08-19
REV0091,C0119,P0156,3.0,El khedma ra2e3a awy,2024-03-01
REV0092,C0562,P0148,5.0,El 3ala 7abeby,2023-03-13
REV0093,C0800,P0517,1.0,El 7aga zabarta 3amali,2024-08-24
REV0094,C0454,P0548,3.0,El montag 3amali gedan,2024-01-22
REV0095,C0709,P0244,2.0,El tawseel kan fe wa2t,2023-02-14
REV0096,C0390,P0394,2.0,Mesh zay el wasf,2023-05-10
REV0097,C0447,P0102,4.0,,2023-05-28
REV0098,C0665,P0157,3.0,El khedma momtaza,2024-10-27
REV0099,C0544,P0388,4.0,Mesh zay el wasf,2024-09-24
REV0100,C0232,P0092,1.0,Sa3r tamam,2024-03-30
REV0101,C0334,P0057,3.0,Sa3r akw men el market,2024-06-27
REV0102,C0178,P0080,4.0,Sa3r akw men el market,2024-05-24
REV0103,C0261,P0468,1.0,El montag mesh sha8al,2023-10-22
REV0104,C0355,P0597,4.0,El montag mesh sha8al,2023-11-06
REV0105,C0242,P0389,5.0,El tawseel 3alat basha,2023-01-23
REV0106,C0576,P0050,4.0,El tawseel 3alat basha,2023-08-24
REV0107,C0632,P0256,2.0,Mesh zay el wasf,2023-11-13
REV0108,C0133,P0092,3.0,El 7agat etewsalet kamla,2023-07-25
REV0109,C0541,P0511,2.0,El khedma 3amali awy,2023-10-30
REV0110,C0077,P0144,2.0,El khedma momtaza,2024-07-24
REV0110,C0077,P0144,2.0,El khedma momtaza,2024-07-24
REV0111,C0547,P0127,3.0,El sa3r mo3taghal,2023-04-21
